game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,game_name,links,global_sales
The Orange Box,2007-10-10,96,9.2,1,623,4,0,0,0,34,1531,"Action, Miscellaneous, Shooter, Compilation, First-Person, Sci-Fi",M,34,0,0,228,9,9, The Orange Box,http://www.vgchartz.com/game/7663/the-orange-box/,0.14
BioShock,2007-08-21,96,8.5,32,161043,1318,19,0,278,44,3734,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,44,0,0,498,131,131, BioShock,http://www.vgchartz.com/game/7217/bioshock/,0.41
Call of Duty 4: Modern Warfare,2007-11-05,92,8.5,26,2474606,15558,404,0,4105,40,2426,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M,40,0,0,341,42,42, Call of Duty 4: Modern Warfare,http://www.vgchartz.com/game/7608/call-of-duty-4-modern-warfare/,1.15
Crysis,2007-11-13,91,8,29,507946,4321,72,0,890,56,2016,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,56,0,0,272,108,108, Crysis,http://www.vgchartz.com/game/7182/crysis/,0.71
World of Warcraft: The Burning Crusade,2007-01-16,91,7.9,27,1458249,9624,175,0,1954,46,802,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",T,45,1,0,78,16,16, World of Warcraft: The Burning Crusade,http://www.vgchartz.com/game/7591/world-of-warcraft-the-burning-crusade/,4.09
Half-Life 2: Episode Two,2007-10-10,90,9.2,10,26630,302,2,0,66,21,1922,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,21,0,0,292,27,27, Half-Life 2,http://www.vgchartz.com/game/7279/half-life-2/,2.37
World in Conflict,2007-09-18,89,8.1,5,105426,744,12,0,90,44,307,"Strategy, Real-Time, Modern",T,43,1,0,42,17,17, World in Conflict,http://www.vgchartz.com/game/14503/world-in-conflict/,0.04
Company of Heroes: Opposing Fronts,2007-09-24,87,8.6,1,116515,565,16,0,207,36,236,"Strategy, Real-Time, Military, Military",M,36,0,0,36,4,4, Company of Heroes: Opposing Fronts,http://www.vgchartz.com/game/18479/company-of-heroes-opposing-fronts/,0.04
Gears of War,2007-11-06,87,7.7,13,326906,2357,80,0,710,36,580,"Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade",M,35,1,0,25,18,18, Gears of War,http://www.vgchartz.com/game/13240/gears-of-war/,0.02
Supreme Commander,2007-02-20,86,8.3,5,108757,639,16,0,237,44,270,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General, Command",E10+,40,4,0,61,10,10, Supreme Commander,http://www.vgchartz.com/game/13156/supreme-commander/,0.05
Sid Meier's Civilization IV: Beyond the Sword,2007-07-23,86,8.6,6,20633,137,2,0,12,28,175,"Strategy, Turn-Based, Historic, Historic, 4X",E10+,26,2,0,26,4,4, Sid Meier's Civilization IV,http://www.vgchartz.com/game/7308/sid-meiers-civilization-iv/,0.16
The Lord of the Rings Online: Shadows of Angmar,2007-04-24,86,8.1,6,1468,25,0,0,1,40,263,"Role-Playing, Massively Multiplayer Online, Fantasy, Fantasy",T,39,1,0,58,20,20,The Lord of the Rings Online: Shadows of Angmar,http://www.vgchartz.com/gamedb/?name=The+Lord+of+the+Rings+Online%3A+Shadows+of+Angmar,0
IL-2 Sturmovik: 1946,2007-03-13,86,8.8,1,2680,29,1,0,19,9,117,"Simulation, Flight, WWII, WWII",T,9,0,0,20,1,1, IL-2 Sturmovik: 1946,http://www.vgchartz.com/game/26046/il-2-sturmovik-1946/,0.04
The Elder Scrolls IV: Shivering Isles,2007-03-26,86,8.4,2,698308,4749,66,0,776,34,187,"Role-Playing, First-Person, First-Person, Western-Style",M,33,1,0,20,2,2,The Elder Scrolls IV: Shivering Isles,NA,0.26
